Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.9775,0.9775,0.977511938,0.977499859
1000,10,1,32,0.96,0.960066015,0.959973999,0.959996
1000,10,1,64,0.9225,0.9225,0.922510563,0.922499516
1000,10,3,16,0.9675,0.9675,0.967511688,0.967499797
1000,10,3,32,0.9675,0.9675,0.967511688,0.967499797
1000,10,3,64,0.935,0.935060389,0.934973374,0.934993499
1000,10,5,16,0.9725,0.972522252,0.972486812,0.972498453
1000,10,5,32,0.9625,0.962571257,0.962536563,0.962499766
1000,10,5,64,0.965,0.964999125,0.964999125,0.964999125
1000,50,1,16,0.97,0.96999925,0.96999925,0.96999925
1000,50,1,32,0.9625,0.9625,0.962511563,0.962499766
1000,50,1,64,0.93,0.930023251,0.930023251,0.93
1000,50,3,16,0.9725,0.9725,0.972511813,0.972499828
1000,50,3,32,0.975,0.975069391,0.974974374,0.9749975
1000,50,3,64,0.9525,0.952570257,0.952536313,0.952499703
1000,50,5,16,0.9725,0.9725,0.972511813,0.972499828
1000,50,5,32,0.9825,0.982643057,0.982462062,0.982497265
1000,50,5,64,0.955,0.955023876,0.955023876,0.955
1000,100,1,16,0.9675,0.967571757,0.967536688,0.967499797
1000,100,1,32,0.9675,0.9675,0.967511688,0.967499797
1000,100,1,64,0.9525,0.9525,0.952511313,0.952499703
1000,100,3,16,0.9725,0.972639056,0.972461812,0.972495702
1000,100,3,32,0.97,0.96999925,0.96999925,0.96999925
1000,100,3,64,0.96,0.960024001,0.960024001,0.96
1000,100,5,16,0.9775,0.9775,0.977511938,0.977499859
1000,100,5,32,0.975,0.974999375,0.974999375,0.974999375
1000,100,5,64,0.96,0.959999,0.959999,0.959999
2000,10,1,16,0.98,0.980024501,0.980024501,0.98
2000,10,1,32,0.9875,0.987645058,0.987462187,0.987498047
2000,10,1,64,0.9575,0.957633053,0.957461437,0.957493358
2000,10,3,16,0.975,0.975024376,0.975024376,0.975
2000,10,3,32,0.9825,0.982523252,0.982487062,0.982499016
2000,10,3,64,0.9675,0.967571757,0.967536688,0.967499797
2000,10,5,16,0.985,0.984999625,0.984999625,0.984999625
2000,10,5,32,0.9825,0.982523252,0.982487062,0.982499016
2000,10,5,64,0.9875,0.987523752,0.987487187,0.987499297
2000,50,1,16,0.9825,0.982643057,0.982462062,0.982497265
2000,50,1,32,0.9825,0.982523252,0.982487062,0.982499016
2000,50,1,64,0.955,0.954998875,0.954998875,0.954998875
2000,50,3,16,0.9825,0.9825,0.982512063,0.982499891
2000,50,3,32,0.9825,0.982523252,0.982487062,0.982499016
2000,50,3,64,0.975,0.975069391,0.974974374,0.9749975
2000,50,5,16,0.98,0.9799995,0.9799995,0.9799995
2000,50,5,32,0.99,0.990243902,0.989949749,0.989997749
2000,50,5,64,0.985,0.985071641,0.984974624,0.9849985
2000,100,1,16,0.9825,0.982523252,0.982487062,0.982499016
2000,100,1,32,0.98,0.9799995,0.9799995,0.9799995
2000,100,1,64,0.975,0.975069391,0.974974374,0.9749975
2000,100,3,16,0.98,0.9799995,0.9799995,0.9799995
2000,100,3,32,0.9775,0.977522752,0.977486937,0.977498734
2000,100,3,64,0.985,0.985071641,0.984974624,0.9849985
2000,100,5,16,0.9775,0.9775,0.977511938,0.977499859
2000,100,5,32,0.9825,0.982523252,0.982487062,0.982499016
2000,100,5,64,0.9675,0.9675,0.967511688,0.967499797
3000,10,1,16,0.9825,0.982523252,0.982487062,0.982499016
3000,10,1,32,0.9825,0.982523252,0.982487062,0.982499016
3000,10,1,64,0.98,0.9799995,0.9799995,0.9799995
3000,10,3,16,0.9875,0.987523752,0.987487187,0.987499297
3000,10,3,32,0.98,0.9799995,0.9799995,0.9799995
3000,10,3,64,0.985,0.985071641,0.984974624,0.9849985
3000,10,5,16,0.985,0.985071641,0.984974624,0.9849985
3000,10,5,32,0.9825,0.982523252,0.982487062,0.982499016
3000,10,5,64,0.99,0.990243902,0.989949749,0.989997749
3000,50,1,16,0.9825,0.982523252,0.982487062,0.982499016
3000,50,1,32,0.98,0.980070516,0.979974499,0.979998
3000,50,1,64,0.985,0.985071641,0.984974624,0.9849985
3000,50,3,16,0.9875,0.987523752,0.987487187,0.987499297
3000,50,3,32,0.98,0.9799995,0.9799995,0.9799995
3000,50,3,64,0.985,0.985071641,0.984974624,0.9849985
3000,50,5,16,0.985,0.985071641,0.984974624,0.9849985
3000,50,5,32,0.9875,0.987645058,0.987462187,0.987498047
3000,50,5,64,0.9825,0.982523252,0.982487062,0.982499016
3000,100,1,16,0.9775,0.977522752,0.977486937,0.977498734
3000,100,1,32,0.9875,0.987645058,0.987462187,0.987498047
3000,100,1,64,0.975,0.974999375,0.974999375,0.974999375
3000,100,3,16,0.98,0.9799995,0.9799995,0.9799995
3000,100,3,32,0.985,0.985071641,0.984974624,0.9849985
3000,100,3,64,0.98,0.9799995,0.9799995,0.9799995
3000,100,5,16,0.9875,0.987523752,0.987487187,0.987499297
3000,100,5,32,0.98,0.980070516,0.979974499,0.979998
3000,100,5,64,0.9825,0.982523252,0.982487062,0.982499016
