Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.9225,0.922619048,0.922460562,0.922487889
1000,10,1,32,0.91,0.90999775,0.90999775,0.90999775
1000,10,1,64,0.895,0.895126403,0.895047376,0.894997375
1000,10,3,16,0.9325,0.932518252,0.932485812,0.932496203
1000,10,3,32,0.9275,0.927517752,0.927485687,0.927495922
1000,10,3,64,0.8925,0.892514251,0.892484812,0.892493953
1000,10,5,16,0.9275,0.927621048,0.927460687,0.92748867
1000,10,5,32,0.9,0.900698915,0.899897497,0.899937461
1000,10,5,64,0.88,0.880123028,0.880047001,0.879997
1000,50,1,16,0.93,0.930023251,0.930023251,0.93
1000,50,1,32,0.9175,0.917516752,0.917485437,0.917495359
1000,50,1,64,0.8975,0.897609044,0.897459936,0.897483982
1000,50,3,16,0.925,0.924998125,0.924998125,0.924998125
1000,50,3,32,0.9275,0.927517752,0.927485687,0.927495922
1000,50,3,64,0.9025,0.902711084,0.902560064,0.902494515
1000,50,5,16,0.9325,0.932518252,0.932485812,0.932496203
1000,50,5,32,0.9275,0.9275,0.927510688,0.927499547
1000,50,5,64,0.885,0.885049136,0.884972124,0.884988499
1000,100,1,16,0.9375,0.93762505,0.937460937,0.937490233
1000,100,1,32,0.9175,0.917516752,0.917485437,0.917495359
1000,100,1,64,0.9075,0.907565757,0.907535188,0.907499422
1000,100,3,16,0.9275,0.928084936,0.927410685,0.927463278
1000,100,3,32,0.915,0.915055888,0.914972874,0.914991499
1000,100,3,64,0.93,0.930759789,0.929898247,0.929956223
1000,100,5,16,0.94,0.9399985,0.9399985,0.9399985
1000,100,5,32,0.9225,0.922619048,0.922460562,0.922487889
1000,100,5,64,0.9025,0.902611044,0.902460062,0.902484763
2000,10,1,16,0.95,0.950063764,0.949973749,0.949994999
2000,10,1,32,0.9225,0.922805525,0.922435561,0.922476258
2000,10,1,64,0.9175,0.917717087,0.917560439,0.917495359
2000,10,3,16,0.97,0.970068265,0.969974249,0.969997
2000,10,3,32,0.9575,0.957633053,0.957461437,0.957493358
2000,10,3,64,0.93,0.930206379,0.929948249,0.929984246
2000,10,5,16,0.975,0.975234522,0.974949374,0.974994374
2000,10,5,32,0.9475,0.947519752,0.947486187,0.947497047
2000,10,5,64,0.94,0.9399985,0.9399985,0.9399985
2000,50,1,16,0.955,0.955222014,0.954948874,0.954989873
2000,50,1,32,0.92,0.920427524,0.919922998,0.919967987
2000,50,1,64,0.9275,0.927517752,0.927485687,0.927495922
2000,50,3,16,0.97,0.96999925,0.96999925,0.96999925
2000,50,3,32,0.9375,0.938100962,0.937410935,0.937468343
2000,50,3,64,0.915,0.915196998,0.914947874,0.914980871
2000,50,5,16,0.965,0.965228268,0.964949124,0.964992123
2000,50,5,32,0.95,0.950063764,0.949973749,0.949994999
2000,50,5,64,0.95,0.950800371,0.949898747,0.94996873
2000,100,1,16,0.955,0.95506489,0.954973874,0.9549955
2000,100,1,32,0.9425,0.942519252,0.942486062,0.942496765
2000,100,1,64,0.9075,0.907613045,0.907460187,0.907485545
2000,100,3,16,0.9575,0.957837053,0.957436436,0.95748698
2000,100,3,32,0.9725,0.972850566,0.972436811,0.972491576
2000,100,3,64,0.935,0.935209506,0.934948374,0.934985372
2000,100,5,16,0.9775,0.977522752,0.977486937,0.977498734
2000,100,5,32,0.945,0.94521576,0.944948624,0.944987622
2000,100,5,64,0.9325,0.933092949,0.93241081,0.932465811
3000,10,1,16,0.95,0.950023751,0.950023751,0.95
3000,10,1,32,0.945,0.945062639,0.944973624,0.944994499
3000,10,1,64,0.92,0.920023001,0.920023001,0.92
3000,10,3,16,0.98,0.980501114,0.979924498,0.979991997
3000,10,3,32,0.9575,0.957520752,0.957486437,0.957497609
3000,10,3,64,0.945,0.944998625,0.944998625,0.944998625
3000,10,5,16,0.965,0.965830807,0.964899122,0.964978111
3000,10,5,32,0.97,0.970231395,0.969949249,0.969993248
3000,10,5,64,0.945,0.945023626,0.945023626,0.945
3000,50,1,16,0.9725,0.972850566,0.972436811,0.972491576
3000,50,1,32,0.9575,0.9575,0.957511438,0.957499734
3000,50,1,64,0.945,0.945023626,0.945023626,0.945
3000,50,3,16,0.9775,0.978165064,0.977411935,0.977488604
3000,50,3,32,0.9725,0.972639056,0.972461812,0.972495702
3000,50,3,64,0.9425,0.942823541,0.942436061,0.942482385
3000,50,5,16,0.98,0.980237649,0.979949499,0.979995499
3000,50,5,32,0.955,0.955810516,0.954898872,0.954971857
3000,50,5,64,0.9475,0.947629052,0.947461187,0.947491796
3000,100,1,16,0.975,0.975234522,0.974949374,0.974994374
3000,100,1,32,0.955,0.95506489,0.954973874,0.9549955
3000,100,1,64,0.9425,0.942627051,0.942461062,0.942491014
3000,100,3,16,0.9625,0.962841557,0.962436561,0.962488512
3000,100,3,32,0.9575,0.957633053,0.957461437,0.957493358
3000,100,3,64,0.9375,0.938100962,0.937410935,0.937468343
3000,100,5,16,0.9825,0.982643057,0.982462062,0.982497265
3000,100,5,32,0.955,0.955222014,0.954948874,0.954989873
3000,100,5,64,0.97,0.970231395,0.969949249,0.969993248
