Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.93,0.930206379,0.929948249,0.929984246
1000,10,1,32,0.915,0.915022876,0.915022876,0.915
1000,10,1,64,0.8975,0.8975,0.897509938,0.897499359
1000,10,3,16,0.93,0.93116678,0.929873247,0.929936943
1000,10,3,32,0.93,0.930206379,0.929948249,0.929984246
1000,10,3,64,0.895,0.895022376,0.895022376,0.895
1000,10,5,16,0.9275,0.927810029,0.927435686,0.92747779
1000,10,5,32,0.9075,0.90839599,0.907385185,0.907429994
1000,10,5,64,0.89,0.890390729,0.889922248,0.889955982
1000,50,1,16,0.9325,0.932623049,0.932460812,0.932489451
1000,50,1,32,0.925,0.925058138,0.924973124,0.924992499
1000,50,1,64,0.8875,0.890437544,0.887284682,0.887245598
1000,50,3,16,0.925,0.925203252,0.924948124,0.924983121
1000,50,3,32,0.935,0.935060389,0.934973374,0.934993499
1000,50,3,64,0.89,0.890306442,0.890072252,0.889988999
1000,50,5,16,0.93,0.930439789,0.929923248,0.929971989
1000,50,5,32,0.9325,0.933092949,0.93241081,0.932465811
1000,50,5,64,0.885,0.884997125,0.884997125,0.884997125
1000,100,1,16,0.9425,0.943108974,0.94241106,0.942470876
1000,100,1,32,0.91,0.910193871,0.909947749,0.909979745
1000,100,1,64,0.91,0.910193871,0.909947749,0.909979745
1000,100,3,16,0.9375,0.939478444,0.937335933,0.937411986
1000,100,3,32,0.91,0.90999775,0.90999775,0.90999775
1000,100,3,64,0.92,0.920057013,0.919972999,0.919991999
1000,100,5,16,0.9325,0.933458647,0.93238581,0.932448914
1000,100,5,32,0.9225,0.923433584,0.92238556,0.922441346
1000,100,5,64,0.9025,0.902565257,0.902535063,0.902499391
2000,10,1,16,0.94,0.940023501,0.940023501,0.94
2000,10,1,32,0.935,0.936682483,0.934848371,0.934920277
2000,10,1,64,0.9225,0.922567257,0.922535563,0.922499516
2000,10,3,16,0.9675,0.967521752,0.967486687,0.967498172
2000,10,3,32,0.95,0.950218887,0.949948749,0.949988747
2000,10,3,64,0.93,0.931661269,0.929848246,0.929914145
2000,10,5,16,0.975,0.975234522,0.974949374,0.974994374
2000,10,5,32,0.9525,0.952520252,0.952486312,0.952497328
2000,10,5,64,0.94,0.940023501,0.940023501,0.94
2000,50,1,16,0.955,0.955470451,0.954923873,0.954981993
2000,50,1,32,0.925,0.925749643,0.924898122,0.924953096
2000,50,1,64,0.92,0.920200125,0.919947999,0.919981996
2000,50,3,16,0.97,0.970488849,0.969924248,0.969987995
2000,50,3,32,0.945,0.945458186,0.944923623,0.944977991
2000,50,3,64,0.9275,0.927621048,0.927460687,0.92748867
2000,50,5,16,0.965,0.965228268,0.964949124,0.964992123
2000,50,5,32,0.9575,0.957837053,0.957436436,0.95748698
2000,50,5,64,0.9525,0.953125,0.95241131,0.952475941
2000,100,1,16,0.95,0.951227463,0.949873747,0.949954959
2000,100,1,32,0.94,0.9399985,0.9399985,0.9399985
2000,100,1,64,0.9175,0.91806891,0.917410435,0.917458213
2000,100,3,16,0.96,0.960476584,0.959923998,0.959983994
2000,100,3,32,0.9675,0.9675,0.967511688,0.967499797
2000,100,3,64,0.9425,0.942823541,0.942436061,0.942482385
2000,100,5,16,0.97,0.970231395,0.969949249,0.969993248
2000,100,5,32,0.9475,0.949527686,0.947336183,0.947426068
2000,100,5,64,0.92,0.921136438,0.919872997,0.919927935
3000,10,1,16,0.9525,0.952520252,0.952486312,0.952497328
3000,10,1,32,0.95,0.950063764,0.949973749,0.949994999
3000,10,1,64,0.915,0.914997875,0.914997875,0.914997875
3000,10,3,16,0.98,0.980501114,0.979924498,0.979991997
3000,10,3,32,0.9625,0.962635054,0.962461562,0.96249414
3000,10,3,64,0.945,0.945062639,0.944973624,0.944994499
3000,10,5,16,0.9725,0.973558897,0.97238681,0.972479187
3000,10,5,32,0.96,0.960225141,0.959948999,0.959990998
3000,10,5,64,0.9475,0.947629052,0.947461187,0.947491796
3000,50,1,16,0.97,0.970840953,0.969899247,0.969981238
3000,50,1,32,0.97,0.970231395,0.969949249,0.969993248
3000,50,1,64,0.935,0.935060389,0.934973374,0.934993499
3000,50,3,16,0.975,0.975494981,0.974924373,0.974989996
3000,50,3,32,0.965,0.96506714,0.964974124,0.9649965
3000,50,3,64,0.945,0.94521576,0.944948624,0.944987622
3000,50,5,16,0.98,0.980237649,0.979949499,0.979995499
3000,50,5,32,0.9625,0.963533835,0.96238656,0.962471619
3000,50,5,64,0.9475,0.947828045,0.947436186,0.947483917
3000,100,1,16,0.9725,0.972639056,0.972461812,0.972495702
3000,100,1,32,0.9575,0.957633053,0.957461437,0.957493358
3000,100,1,64,0.9475,0.948116987,0.947411185,0.947473408
3000,100,3,16,0.965,0.965482716,0.964924123,0.964985994
3000,100,3,32,0.9625,0.963141026,0.96241156,0.962481006
3000,100,3,64,0.945,0.945458186,0.944923623,0.944977991
3000,100,5,16,0.985,0.985071641,0.984974624,0.9849985
3000,100,5,32,0.9575,0.957837053,0.957436436,0.95748698
3000,100,5,64,0.965,0.965228268,0.964949124,0.964992123
