Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.9325,0.932192145,0.931733451,0.931790434
1000,10,1,32,0.9075,0.908248156,0.906994755,0.90699989
1000,10,1,64,0.83,0.831698041,0.82665361,0.828349439
1000,10,3,16,0.93875,0.939140837,0.937787006,0.938078431
1000,10,3,32,0.8925,0.892379867,0.890553016,0.891249462
1000,10,3,64,0.88375,0.884254632,0.881877227,0.882782343
1000,10,5,16,0.9525,0.95250521,0.951247461,0.951685758
1000,10,5,32,0.9175,0.919700889,0.917956819,0.917417861
1000,10,5,64,0.8825,0.883818572,0.880703518,0.881757645
1000,50,1,16,0.93625,0.936417896,0.935136981,0.935547229
1000,50,1,32,0.9,0.901107941,0.898680092,0.899381872
1000,50,1,64,0.86,0.858823949,0.856667223,0.857273231
1000,50,3,16,0.945,0.945391935,0.944670302,0.944751182
1000,50,3,32,0.92375,0.923985194,0.922315081,0.922911672
1000,50,3,64,0.88125,0.881810903,0.879994916,0.880538636
1000,50,5,16,0.9525,0.951987572,0.951827518,0.951827916
1000,50,5,32,0.93625,0.936914207,0.934904422,0.935548153
1000,50,5,64,0.8975,0.89775538,0.89687044,0.896884501
1000,100,1,16,0.935,0.934790397,0.934103332,0.934352391
1000,100,1,32,0.8975,0.897635609,0.896080275,0.896648981
1000,100,1,64,0.8625,0.868428872,0.862139574,0.863500732
1000,100,3,16,0.935,0.93496807,0.93368314,0.93410759
1000,100,3,32,0.91625,0.915702134,0.914698049,0.915116219
1000,100,3,64,0.87625,0.880046987,0.874905021,0.876372818
1000,100,5,16,0.94875,0.949087036,0.948098953,0.948293028
1000,100,5,32,0.92625,0.926350948,0.925102496,0.925494586
1000,100,5,64,0.905,0.904039577,0.903327332,0.903554003
2000,10,1,16,0.9675,0.966962894,0.967181823,0.966925814
2000,10,1,32,0.95875,0.958932925,0.957345907,0.957947708
2000,10,1,64,0.91,0.909228126,0.908809687,0.90887134
2000,10,3,16,0.97375,0.973729956,0.972837626,0.973205041
2000,10,3,32,0.96125,0.962163925,0.960155797,0.960895174
2000,10,3,64,0.91125,0.912502299,0.911303401,0.911112988
2000,10,5,16,0.9725,0.972597598,0.971826452,0.972090614
2000,10,5,32,0.96,0.960827527,0.95872442,0.959376822
2000,10,5,64,0.94625,0.94720722,0.945216381,0.945846799
2000,50,1,16,0.9725,0.97194738,0.971896476,0.971897421
2000,50,1,32,0.95875,0.958426734,0.957970903,0.958102005
2000,50,1,64,0.91625,0.917472207,0.915440654,0.915903435
2000,50,3,16,0.96375,0.963005001,0.962270656,0.962579119
2000,50,3,32,0.955,0.954606464,0.953872364,0.954084114
2000,50,3,64,0.935,0.934516372,0.934568427,0.934389446
2000,50,5,16,0.9725,0.972054456,0.971944037,0.971989495
2000,50,5,32,0.95875,0.958696966,0.958876007,0.95852409
2000,50,5,64,0.95375,0.955450591,0.952370939,0.953296348
2000,100,1,16,0.96875,0.968457304,0.968448031,0.968251176
2000,100,1,32,0.9575,0.957667844,0.956102174,0.956663424
2000,100,1,64,0.92,0.919744032,0.918353933,0.918806077
2000,100,3,16,0.955,0.955210418,0.953732293,0.954283374
2000,100,3,32,0.9675,0.967236871,0.967341701,0.967173481
2000,100,3,64,0.94375,0.94264067,0.942501624,0.942534024
2000,100,5,16,0.98,0.97940272,0.979631104,0.979510738
2000,100,5,32,0.9475,0.94696936,0.946807624,0.946861181
2000,100,5,64,0.92875,0.92722276,0.928099996,0.927438794
3000,10,1,16,0.9725,0.971829515,0.97171149,0.97176749
3000,10,1,32,0.97,0.969651442,0.969851642,0.969604237
3000,10,1,64,0.9525,0.952429147,0.952127456,0.952115048
3000,10,3,16,0.98,0.979809441,0.979376093,0.979561164
3000,10,3,32,0.97125,0.970718066,0.970330331,0.970509047
3000,10,3,64,0.955,0.954551409,0.953732281,0.95405251
3000,10,5,16,0.97625,0.97623992,0.975555017,0.975854832
3000,10,5,32,0.97125,0.970940718,0.970190271,0.970509438
3000,10,5,64,0.9625,0.962371902,0.962694438,0.962104285
3000,50,1,16,0.97625,0.975834234,0.97560259,0.975709064
3000,50,1,32,0.9675,0.967204242,0.966694253,0.966898047
3000,50,1,64,0.9425,0.941962067,0.941608047,0.941711738
3000,50,3,16,0.97875,0.978488178,0.978087422,0.978272529
3000,50,3,32,0.98,0.980079367,0.979028583,0.979460909
3000,50,3,64,0.96,0.960108214,0.95926222,0.959471801
3000,50,5,16,0.98875,0.988869775,0.98814437,0.988450351
3000,50,5,32,0.97125,0.970478865,0.97007532,0.970254326
3000,50,5,64,0.97,0.970247821,0.969526607,0.969723925
3000,100,1,16,0.98125,0.981106578,0.980712326,0.98086853
3000,100,1,32,0.97375,0.973317328,0.973070185,0.973174297
3000,100,1,64,0.9475,0.947579562,0.946275127,0.946724095
3000,100,3,16,0.975,0.974839805,0.974358857,0.974531641
3000,100,3,32,0.97125,0.971283202,0.970212734,0.97062706
3000,100,3,64,0.95625,0.956572331,0.954465992,0.955205136
3000,100,5,16,0.98875,0.988540233,0.988606831,0.988548584
3000,100,5,32,0.975,0.97455558,0.974916451,0.974652517
3000,100,5,64,0.9675,0.966916183,0.966926801,0.966878084
