Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.93125,0.930210178,0.930489706,0.930252821
1000,10,1,32,0.9075,0.907172202,0.906459612,0.906639364
1000,10,1,64,0.82375,0.824209889,0.820395274,0.821871184
1000,10,3,16,0.9425,0.942088757,0.941190512,0.941540492
1000,10,3,32,0.89375,0.894221886,0.891749188,0.892660485
1000,10,3,64,0.87375,0.873049852,0.872145325,0.872474142
1000,10,5,16,0.95375,0.953263422,0.95256123,0.95285183
1000,10,5,32,0.9075,0.907946937,0.906947194,0.906731285
1000,10,5,64,0.89,0.891258548,0.888808119,0.889516469
1000,50,1,16,0.94625,0.946017234,0.94538155,0.945627987
1000,50,1,32,0.9025,0.901113115,0.899959859,0.90032452
1000,50,1,64,0.86,0.85763286,0.857244623,0.857267932
1000,50,3,16,0.9375,0.936602452,0.936100582,0.936274538
1000,50,3,32,0.9275,0.926770408,0.926346229,0.926521875
1000,50,3,64,0.8725,0.873593717,0.871436735,0.87192248
1000,50,5,16,0.9525,0.951918748,0.951409972,0.951633764
1000,50,5,32,0.925,0.924159003,0.923813825,0.92387147
1000,50,5,64,0.89875,0.898443055,0.897486543,0.897778632
1000,100,1,16,0.93,0.929124733,0.92901606,0.929045133
1000,100,1,32,0.9125,0.911459029,0.910549269,0.910715904
1000,100,1,64,0.85875,0.860857004,0.857320883,0.85835586
1000,100,3,16,0.95,0.950425793,0.948944958,0.949467752
1000,100,3,32,0.915,0.914243742,0.91340939,0.913751118
1000,100,3,64,0.88125,0.88278374,0.879829758,0.880724841
1000,100,5,16,0.94625,0.946140569,0.945311514,0.94562639
1000,100,5,32,0.93125,0.930611791,0.929957209,0.930154923
1000,100,5,64,0.90375,0.902033658,0.902131148,0.902074012
2000,10,1,16,0.96625,0.965799244,0.965220595,0.965479837
2000,10,1,32,0.95375,0.954108435,0.951586077,0.952341232
2000,10,1,64,0.91125,0.910695169,0.909728385,0.910061245
2000,10,3,16,0.9725,0.972692423,0.97147893,0.971969439
2000,10,3,32,0.96,0.9611661,0.958379556,0.959329711
2000,10,3,64,0.9025,0.903817448,0.902560222,0.902189058
2000,10,5,16,0.9725,0.972260942,0.972036536,0.972099602
2000,10,5,32,0.96125,0.961565015,0.959853202,0.960462613
2000,10,5,64,0.93875,0.939245219,0.937156695,0.93777381
2000,50,1,16,0.9675,0.966677721,0.96643923,0.966546092
2000,50,1,32,0.955,0.954335641,0.95361733,0.95387287
2000,50,1,64,0.91,0.910387601,0.908739663,0.909250221
2000,50,3,16,0.96625,0.965309029,0.965220595,0.965256276
2000,50,3,32,0.965,0.964031604,0.964231873,0.9641222
2000,50,3,64,0.935,0.934659594,0.934335868,0.934435787
2000,50,5,16,0.9725,0.972206378,0.971641454,0.971896672
2000,50,5,32,0.95125,0.95045158,0.950028813,0.950219973
2000,50,5,64,0.95375,0.953774382,0.953323616,0.953444864
2000,100,1,16,0.96375,0.963325903,0.962710654,0.962980283
2000,100,1,32,0.9525,0.951782703,0.951177413,0.951418619
2000,100,1,64,0.92875,0.928248194,0.927934827,0.928033166
2000,100,3,16,0.95125,0.951803688,0.949656206,0.950400154
2000,100,3,32,0.95875,0.958688764,0.957530894,0.958003727
2000,100,3,64,0.94625,0.945206216,0.944708982,0.944870991
2000,100,5,16,0.975,0.974845354,0.973778787,0.974185463
2000,100,5,32,0.94875,0.948464544,0.94816632,0.9482595
2000,100,5,64,0.92875,0.927206494,0.927774949,0.927347374
3000,10,1,16,0.9775,0.976681795,0.977216296,0.976870669
3000,10,1,32,0.96875,0.967952993,0.968263033,0.968035665
3000,10,1,64,0.95875,0.958096678,0.958295938,0.95815551
3000,10,3,16,0.97625,0.976220041,0.975392494,0.975742058
3000,10,3,32,0.97125,0.970397929,0.970260295,0.970319105
3000,10,3,64,0.9575,0.956586997,0.956774719,0.956645955
3000,10,5,16,0.97875,0.978596107,0.978272409,0.978424296
3000,10,5,32,0.975,0.974478799,0.974243894,0.974339188
3000,10,5,64,0.96375,0.962939573,0.963475698,0.963097292
3000,50,1,16,0.97,0.969755632,0.968994098,0.969321825
3000,50,1,32,0.96625,0.965906199,0.965173034,0.965484371
3000,50,1,64,0.94625,0.946235007,0.945821548,0.945927286
3000,50,3,16,0.98,0.979666637,0.979283594,0.979459873
3000,50,3,32,0.9775,0.977877399,0.976403679,0.976999256
3000,50,3,64,0.96125,0.960306091,0.960713392,0.960481908
3000,50,5,16,0.98125,0.981290269,0.980317243,0.980729372
3000,50,5,32,0.96875,0.968107045,0.967542915,0.967783007
3000,50,5,64,0.96625,0.96591207,0.965498081,0.965669906
3000,100,1,16,0.98,0.979862261,0.979121071,0.979430571
3000,100,1,32,0.97125,0.971023781,0.970167807,0.970537954
3000,100,1,64,0.94875,0.948057365,0.947426373,0.947680926
3000,100,3,16,0.97125,0.97148877,0.970190271,0.970722016
3000,100,3,32,0.97125,0.971085451,0.970537781,0.970757731
3000,100,3,64,0.95625,0.956379217,0.954536016,0.955182638
3000,100,5,16,0.98375,0.983788868,0.983034634,0.983365429
3000,100,5,32,0.97375,0.973278087,0.973650243,0.973407758
3000,100,5,64,0.96375,0.963162151,0.96292075,0.963013028
